;"RIS-RIS-QI01_TT";"IPU-IPU-FB18";"SAN-SAN3-FB01";"SAN4-ANL1-QI02";"SAN4-ANL1-QI01";"SAN-SAN3-ML01";"POL_FT04";"IPU_LT01";"PHA5-SED5-QI11";"PHA5-SED5-QI01"
"09-03 07";-0,09230389;-0,4021412;0,4450174;-0,1835535;0,157773;1,808928;0,4943532;-0,6500343;0,4222324;0,8657215
"09-03 08";-0,3536607;-1,07348;0,1355804;-0,441734;0,9259398;1,808928;0,07139629;-1,226461;0,2816204;0,8186639
"09-03 09";-0,737179;-1,525134;-0,4069474;-0,4686438;1,829236;1,808928;-0,6452317;-1,129571;0,1606712;0,6078336
"09-03 10";-0,8305627;-2,485808;-1,344595;-0,2248908;1,315443;1,808928;-1,934051;-0,2696811;0,1784374;0,5458894
"09-03 11";-1,05431;-0,7643905;0,07477725;-0,4848848;1,32024;1,808928;0,00388496;0,009664548;0,3190199;0,5978244
"09-03 12";-1,065431;0,4001963;0,8563667;-0,3353061;1,801102;1,808928;1,04754;0,05171504;0,4654651;0,4362844
"09-03 13";-0,8160717;1,07567;1,352256;-0,01808797;1,521376;1,808928;1,721308;-0,08793029;0,4916925;0,2869439
"09-03 14";-0,6523893;0,8180121;1,159194;0,3572445;1,4047;1,808928;1,690098;-0,4129898;0,408102;0,2185447
"09-03 15";-0,318509;0,101149;0,7482248;0,193951;1,891217;1,808928;1,186348;-0,6038167;0,4217402;0,2139658
"09-03 16";-0,02595196;-0,2497192;0,5154108;0,3039936;2,395452;1,808928;0,8694106;-0,542363;0,4954528;0,3117369
"09-03 17";0,1081048;-0,2672158;0,3795596;0,3848806;1,921933;1,808928;0,9320219;-0,4710881;1,067033;0,05248675
"09-03 18";0,09723052;-0,3917434;0,4172083;0,6985983;1,018586;1,808928;1,002824;-0,4619506;1,285052;0,3839838
"09-03 19";0,1301568;-0,7638552;0,06291255;0,4182039;1,40731;1,808928;0,4561179;-0,5393;1,332529;0,3645675
"09-03 20";0,08103337;-0,9951262;-0,1440263;0,4316125;0,9571626;1,808928;0,1604633;-0,4985811;1,238731;0,6183991
"09-03 21";-0,06851313;-0,963254;0,02265518;0,4071009;0,5316466;1,808928;0,6391031;-0,4326897;1,130477;0,6996003
"09-03 22";-0,603782;-0,6877398;0,06196999;0,5122795;0,8752911;1,808928;0,703014;-0,3081509;1,129841;1,052995
